Movie_ID,Movie_Name,Rating,Votes,Meta_score,PG_Rating,Year,Duration,Director,Director_ID
69,Lady Bird,7.4,318000,93,R,2017,1h 34m,Greta Gerwig,12
70,National Lampoon's Christmas Vacation,7.5,213000,49,PG-13,1989,1h 37m,Jeremiah S. Chechik,13
71,Rebel Moon - Part One: A Child of Fire,6.3,1900,32,PG-13,2023,2h 13m,Zack Snyder,14
72,Watchmen,7.6,574000,56,R,2009,2h 42m,Zack Snyder,14
73,Man of Steel,7.1,802000,55,PG-13,2013,2h 23m,Zack Snyder,14
74,300,7.6,853000,52,R,2006,1h 57m,Zack Snyder,14
75,Batman v Superman: Dawn of Justice,6.5,744000,44,PG-13,2016,2h 31m,Zack Snyder,14
76,Zack Snyder's Justice League,7.9,429000,54,R,2021,4h 2m,Zack Snyder,14
77,Army of the Dead,5.8,183000,57,R,2021,2h 28m,Zack Snyder,14
78,Sucker Punch,6.0,250000,33,PG-13,2011,1h 50m,Zack Snyder,14
79,Justice League,6.1,473000,45,PG-13,2017,2h,Zack Snyder,14
80,Dawn of the Dead,7.3,268000,59,R,2004,1h 41m,Zack Snyder,14
81,The Family Plan,6.3,9200,40,PG-13,2023,1h 58m,Simon Cellan Jones,15
82,The Holdovers,8.0,24000,82,R,2023,2h 13m,Alexander Payne,16
83,Sideways,7.5,200000,94,R,2004,2h 7m,Alexander Payne,16
84,Downsizing,5.8,121000,64,R,2017,2h 15m,Alexander Payne,16
85,Family Switch,5.6,16000,37,PG,2023,1h 46m,McG,17
86,Terminator Salvation,6.5,374000,49,PG-13,2009,1h 55m,McG,17
87,Charlie's Angels,5.6,194000,52,PG-13,2000,1h 38m,McG,17
88,Indiana Jones and the Dial of Destiny,6.6,159000,58,PG-13,2023,2h 34m,James Mangold,18
89,Ford v Ferrari,8.1,448000,81,PG-13,2019,2h 32m,James Mangold,18
90,Logan,8.1,813000,77,R,2017,2h 17m,James Mangold,18
91,"Girl, Interrupted",7.3,206000,51,R,1999,2h 7m,James Mangold,18
92,Cop Land,7.0,104000,64,R,1997,1h 45m,James Mangold,18
93,The Wolverine,6.7,486000,61,PG-13,2013,2h 6m,James Mangold,18
94,Identity,7.3,263000,64,R,2003,1h 30m,James Mangold,18
95,Walk the Line,7.8,262000,72,PG-13,2005,2h 16m,James Mangold,18
96,Knight and Day,6.3,208000,46,PG-13,2010,1h 49m,James Mangold,18
97,Elf,7.1,300000,66,PG,2003,1h 37m,Jon Favreau,19
98,Iron Man,7.9,1100000,79,PG-13,2008,2h 6m,Jon Favreau,19
99,Chef,7.3,228000,68,R,2014,1h 54m,Jon Favreau,19
100,Iron Man 2,6.9,856000,57,PG-13,2010,2h 4m,Jon Favreau,19
101,The Jungle Book,7.4,289000,77,PG,2016,1h 46m,Jon Favreau,19
102,How the Grinch Stole Christmas,6.3,280000,46,PG,2000,1h 44m,Ron Howard,20
103,A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,Ron Howard,20
104,Solo: A Star Wars Story,6.9,372000,62,PG-13,2018,2h 15m,Ron Howard,20
105,Rush,8.1,505000,74,R,2013,2h 3m,Ron Howard,20
106,Apollo 13,7.7,310000,78,PG,1995,2h 20m,Ron Howard,20
107,The Da Vinci Code,6.6,453000,46,PG-13,2006,2h 29m,Ron Howard,20
108,Parenthood,7.1,54000,82,PG-13,1989,2h 4m,Ron Howard,20
109,Backdraft,6.7,86000,39,R,1991,2h 17m,Ron Howard,20
110,Inferno,6.2,187000,42,PG-13,2016,2h 1m,Ron Howard,20
111,In the Heart of the Sea,6.9,147000,47,PG-13,2015,2h 2m,Ron Howard,20
112,Willow,7.2,129000,47,PG,1988,2h 6m,Ron Howard,20
113,Maestro,7.3,3600,78,R,2023,2h 9m,Bradley Cooper,21
114,A Star Is Born,7.6,410000,88,R,2018,2h 16m,Bradley Cooper,21
115,Mr. Monk's Last Case: A Monk Movie,7.0,3500,65,TV-PG,2023,1h 37m,Randy Zisk,22
116,The Creator,6.9,92000,63,PG-13,2023,2h 13m,Gareth Edwards,26
117,Godzilla,6.4,432000,62,PG-13,2014,2h 3m,Gareth Edwards,26
118,Rogue One: A Star Wars Story,7.8,675000,65,PG-13,2016,2h 13m,Gareth Edwards,26
119,Monsters,6.4,96000,63,R,2010,1h 34m,Gareth Edwards,26
120,Chicken Run: Dawn of the Nugget,6.5,6300,63,PG,2023,1h 41m,Sam Fell,29
121,Die Hard,8.2,924000,72,R,1988,2h 12m,John McTiernan,30
122,Die Hard with a Vengeance,7.6,403000,58,R,1995,2h 8m,John McTiernan,30
123,Predator,7.8,446000,47,R,1987,1h 47m,John McTiernan,30
124,The Hunt for Red October,7.5,211000,58,PG,1990,2h 15m,John McTiernan,30
125,The Killer,6.8,140000,73,R,2023,1h 58m,David Fincher,31
126,Fight Club,8.8,2300000,67,R,1999,2h 19m,David Fincher,31
127,Se7en,8.6,1800000,65,R,1995,2h 7m,David Fincher,31
128,Gone Girl,8.1,1000000,79,R,2014,2h 29m,David Fincher,31
129,The Social Network,7.8,745000,95,PG-13,2010,2h,David Fincher,31
130,The Girl with the Dragon Tattoo,7.8,487000,71,R,2011,2h 38m,David Fincher,31
131,Zodiac,7.7,584000,79,R,2007,2h 37m,David Fincher,31
132,The Curious Case of Benjamin Button,7.8,685000,70,PG-13,2008,2h 46m,David Fincher,31
133,The Game,7.7,421000,63,R,1997,2h 9m,David Fincher,31
134,AlienÂ³,6.4,315000,59,R,1992,1h 54m,David Fincher,31
135,Violent Night,6.7,88000,55,R,2022,1h 52m,Tommy Wirkola,35
136,Home Alone 2: Lost in New York,6.9,389000,46,PG,1992,2h,Chris Columbus,36
137,Harry Potter and the Sorcerer's Stone,7.6,838000,65,PG,2001,2h 32m,Chris Columbus,36
138,Harry Potter and the Chamber of Secrets,7.4,677000,63,PG,2002,2h 41m,Chris Columbus,36
139,The Christmas Chronicles: Part Two,6.0,35000,51,PG,2020,1h 52m,Chris Columbus,36
140,Percy Jackson & the Olympians: The Lightning Thief,5.9,198000,47,PG,2010,1h 58m,Chris Columbus,36
141,Mrs. Doubtfire,7.1,285000,54,PG-13,1993,2h 5m,Chris Columbus,36
142,Adventures in Babysitting,6.9,48000,45,PG-13,1987,1h 42m,Chris Columbus,36
143,Pixels,5.6,156000,27,PG-13,2015,1h 45m,Chris Columbus,36
144,A Haunting in Venice,6.5,84000,63,PG-13,2023,1h 43m,Kenneth Branagh,37
145,Death on the Nile,6.3,180000,52,PG-13,2022,2h 7m,Kenneth Branagh,37
146,Murder on the Orient Express,6.5,285000,52,PG-13,2017,1h 54m,Kenneth Branagh,37
147,Belfast,7.2,87000,75,PG-13,2021,1h 38m,Kenneth Branagh,37
148,Cinderella,6.9,188000,67,PG,2015,1h 45m,Kenneth Branagh,37
149,Thor,7.0,888000,57,PG-13,2011,1h 55m,Kenneth Branagh,37
150,The Marvels,5.9,64000,50,PG-13,2023,1h 45m,Nia DaCosta,38
151,The Polar Express,6.6,233000,61,G,2004,1h 40m,Robert Zemeckis,41
152,A Christmas Carol,6.8,127000,55,PG,2009,1h 36m,Robert Zemeckis,41
153,Forrest Gump,8.8,2200000,82,PG-13,1994,2h 22m,Robert Zemeckis,41
154,Back to the Future,8.5,1300000,87,PG,1985,1h 56m,Robert Zemeckis,41
155,Cast Away,7.8,627000,73,PG-13,2000,2h 23m,Robert Zemeckis,41
156,Flight,7.3,371000,76,R,2012,2h 18m,Robert Zemeckis,41
157,Contact,7.5,289000,62,PG,1997,2h 30m,Robert Zemeckis,41
158,Who Framed Roger Rabbit,7.7,213000,83,PG,1988,1h 44m,Robert Zemeckis,41
159,Back to the Future Part II,7.8,563000,57,PG,1989,1h 48m,Robert Zemeckis,41
160,The Witches,5.4,45000,47,PG,2020,1h 46m,Robert Zemeckis,41
161,Death Becomes Her,6.6,129000,56,PG-13,1992,1h 44m,Robert Zemeckis,41
162,Pinocchio,5.1,41000,38,PG,2022,1h 45m,Robert Zemeckis,41
163,It's a Wonderful Life,8.6,486000,89,PG,1946,2h 10m,Frank Capra,42
164,Five Nights at Freddy's,5.5,78000,33,PG-13,2023,1h 49m,Emma Tammi,43
165,The Santa Clause,6.6,130000,57,PG,1994,1h 37m,John Pasquin,44
166,Finestkind,5.8,1900,44,R,2023,2h 6m,Brian Helgeland,45
167,A Knight's Tale,7.0,198000,56,PG-13,2001,2h 12m,Brian Helgeland,45
168,Payback,7.1,143000,46,R,1999,1h 40m,Brian Helgeland,45
169,Legend,6.9,198000,55,R,2015,2h 12m,Brian Helgeland,45
170,Thanksgiving,6.8,15000,63,R,2023,1h 46m,Eli Roth,46
171,Knock Knock,4.9,102000,53,R,2015,1h 39m,Eli Roth,46
172,Hostel,5.9,189000,55,R,2005,1h 34m,Eli Roth,46
173,The Holiday,6.9,312000,52,PG-13,2006,2h 16m,Nancy Meyers,47
174,The Parent Trap,6.6,151000,64,PG,1998,2h 8m,Nancy Meyers,47
175,The Intern,7.1,269000,51,PG-13,2015,2h 1m,Nancy Meyers,47
176,The Hunger Games,7.2,982000,68,PG-13,2012,2h 22m,Gary Ross,48
177,Ocean's Eight,6.3,237000,61,PG-13,2018,1h 50m,Gary Ross,48
178,A Christmas Story,7.9,165000,77,PG,1983,1h 33m,Bob Clark,49
179,Black Christmas,7.1,47000,65,R,1974,1h 38m,Bob Clark,49
180,Porky's,6.2,45000,40,R,1981,1h 34m,Bob Clark,49
181,Willy Wonka & the Chocolate Factory,7.8,218000,67,G,1971,1h 40m,Mel Stuart,50
182,Scrooged,6.9,113000,38,PG-13,1988,1h 41m,Richard Donner,53
183,The Goonies,7.7,293000,62,PG,1985,1h 54m,Richard Donner,53
184,Lethal Weapon,7.6,272000,68,R,1987,1h 49m,Richard Donner,53
185,Superman,7.4,185000,82,PG,1978,2h 23m,Richard Donner,53
186,Ferrari,6.7,1800,74,R,2023,2h 10m,Michael Mann,54
187,Heat,8.3,703000,76,R,1995,2h 50m,Michael Mann,54
188,The Last of the Mohicans,7.7,184000,76,R,1992,1h 52m,Michael Mann,54
189,Collateral,7.5,427000,71,R,2004,2h,Michael Mann,54
190,Public Enemies,7.0,315000,70,R,2009,2h 20m,Michael Mann,54
191,No Hard Feelings,6.4,118000,59,R,2023,1h 43m,Gene Stupnitsky,55
192,Charlie and the Chocolate Factory,6.7,514000,72,PG,2005,1h 55m,Tim Burton,56
193,Batman Returns,7.1,323000,68,PG-13,1992,2h 6m,Tim Burton,56
194,Edward Scissorhands,7.9,516000,74,PG-13,1990,1h 45m,Tim Burton,56
195,Beetlejuice,7.5,331000,70,PG,1988,1h 32m,Tim Burton,56
196,Planet of the Apes,5.7,226000,50,PG-13,2001,2h,Tim Burton,56
197,Batman,7.5,399000,69,PG-13,1989,2h 6m,Tim Burton,56
198,Alice in Wonderland,6.4,435000,53,PG,2010,1h 48m,Tim Burton,56
199,Sleepy Hollow,7.3,379000,65,R,1999,1h 45m,Tim Burton,56
200,Sweeney Todd: The Demon Barber of Fleet Street,7.3,383000,83,R,2007,1h 56m,Tim Burton,56
201,Big Fish,8.0,454000,58,PG-13,2003,2h 5m,Tim Burton,56
202,Mars Attacks!,6.4,240000,52,PG-13,1996,1h 46m,Tim Burton,56
203,Miss Peregrine's Home for Peculiar Children,6.7,185000,57,PG-13,2016,2h 7m,Tim Burton,56
204,X,6.5,157000,79,R,2022,1h 45m,Ti West,57
205,Pearl,7.0,83000,76,R,2022,1h 43m,Ti West,57
206,Mission: Impossible - Dead Reckoning Part One,7.8,202000,81,PG-13,2023,2h 43m,Christopher McQuarrie,58
207,Jack Reacher,7.0,359000,50,PG-13,2012,2h 10m,Christopher McQuarrie,58
208,Mission: Impossible - Fallout,7.7,370000,86,PG-13,2018,2h 27m,Christopher McQuarrie,58
209,Mission: Impossible - Rogue Nation,7.4,404000,75,PG-13,2015,2h 11m,Christopher McQuarrie,58
210,Asteroid City,6.6,91000,75,PG-13,2023,1h 45m,Wes Anderson,62
211,The Grand Budapest Hotel,8.1,869000,88,R,2014,1h 39m,Wes Anderson,62
212,Fantastic Mr. Fox,7.9,263000,83,PG,2009,1h 27m,Wes Anderson,62
213,The French Dispatch,7.1,146000,74,R,2021,1h 47m,Wes Anderson,62
214,The Life Aquatic with Steve Zissou,7.2,208000,62,R,2004,1h 59m,Wes Anderson,62
215,The Royal Tenenbaums,7.6,309000,76,R,2001,1h 50m,Wes Anderson,62
216,Moonrise Kingdom,7.8,364000,84,PG-13,2012,1h 34m,Wes Anderson,62
217,Blue Beetle,6.0,79000,61,PG-13,2023,2h 7m,Angel Manuel Soto,63
218,Eileen,6.7,2300,71,R,2023,1h 37m,William Oldroyd,64
219,Love and Monsters,6.9,140000,63,PG-13,2020,1h 49m,Michael Matthews,65
220,Dune,8.0,734000,74,PG-13,2021,2h 35m,Denis Villeneuve,66
221,Blade Runner 2049,8.0,637000,81,R,2017,2h 44m,Denis Villeneuve,66
222,Prisoners,8.1,785000,70,R,2013,2h 33m,Denis Villeneuve,66
223,Sicario,7.7,462000,82,R,2015,2h 1m,Denis Villeneuve,66
224,Enemy,6.9,209000,61,R,2013,1h 31m,Denis Villeneuve,66
225,Spirited,6.6,46000,55,PG-13,2022,2h 7m,Sean Anders,67
226,Daddy's Home 2,6.0,81000,30,PG-13,2017,1h 40m,Sean Anders,67
227,That's My Boy,5.5,107000,31,R,2012,1h 56m,Sean Anders,67
228,Daddy's Home,6.2,127000,42,PG-13,2015,1h 36m,Sean Anders,67
229,Sex Drive,6.5,91000,49,R,2008,1h 49m,Sean Anders,67
230,Instant Family,7.3,117000,57,PG-13,2018,1h 58m,Sean Anders,67
231,Dream Scenario,7.4,7500,74,R,2023,1h 42m,Kristoffer Borgli,68
232,Jingle All the Way,5.7,113000,34,PG,1996,1h 29m,Brian Levant,69
233,Priscilla,6.9,8400,78,R,2023,1h 53m,Sofia Coppola,70
234,Lost in Translation,7.7,480000,91,R,2003,1h 42m,Sofia Coppola,70
235,The Virgin Suicides,7.2,166000,77,R,1999,1h 37m,Sofia Coppola,70
236,Marie Antoinette,6.5,119000,65,PG-13,2006,2h 3m,Sofia Coppola,70
237,The Batman,7.8,751000,72,PG-13,2022,2h 56m,Matt Reeves,73
238,War for the Planet of the Apes,7.4,276000,82,PG-13,2017,2h 20m,Matt Reeves,73
239,Dawn of the Planet of the Apes,7.6,462000,79,PG-13,2014,2h 10m,Matt Reeves,73
240,Cloverfield,7.0,416000,64,PG-13,2008,1h 25m,Matt Reeves,73
241,American Fiction,7.8,1200,81,R,2023,1h 57m,Cord Jefferson,76
242,Genie,5.9,6000,35,PG,2023,1h 33m,Sam Boyd,77
243,The Shawshank Redemption,9.3,2800000,82,R,1994,2h 22m,Frank Darabont,80
244,The Green Mile,8.6,1400000,61,R,1999,3h 9m,Frank Darabont,80
245,The Mist,7.1,333000,58,R,2007,2h 6m,Frank Darabont,80
246,Last Christmas,6.5,87000,50,PG-13,2019,1h 43m,Paul Feig,81
247,Bridesmaids,6.8,306000,75,R,2011,2h 5m,Paul Feig,81
248,The School for Good and Evil,5.9,34000,30,PG-13,2022,2h 27m,Paul Feig,81
249,Spy,7.0,255000,75,R,2015,2h,Paul Feig,81
250,A Simple Favor,6.8,159000,67,R,2018,1h 57m,Paul Feig,81
251,Reptile,6.8,73000,52,R,2023,2h 14m,Grant Singer,82
252,The Suicide Squad,7.2,395000,72,R,2021,2h 12m,James Gunn,83
253,Guardians of the Galaxy Vol. 3,7.9,352000,64,PG-13,2023,2h 30m,James Gunn,83
254,Guardians of the Galaxy,8.0,1300000,76,PG-13,2014,2h 1m,James Gunn,83
255,Guardians of the Galaxy Vol. 2,7.6,744000,67,PG-13,2017,2h 16m,James Gunn,83
256,Gremlins,7.3,242000,70,PG,1984,1h 46m,Joe Dante,84
257,The Godfather,9.2,2000000,100,R,1972,2h 55m,Francis Ford Coppola,85
258,Apocalypse Now,8.4,699000,94,R,1979,2h 27m,Francis Ford Coppola,85
259,The Outsiders,7.0,95000,45,PG,1983,1h 31m,Francis Ford Coppola,85
260,The Godfather Part II,9.0,1300000,90,R,1974,3h 22m,Francis Ford Coppola,85
261,Bram Stoker's Dracula,7.4,234000,57,R,1992,2h 8m,Francis Ford Coppola,85
262,The Equalizer 3,6.9,78000,58,R,2023,1h 49m,Antoine Fuqua,86
263,The Equalizer,7.2,408000,57,R,2014,2h 12m,Antoine Fuqua,86
264,Training Day,7.7,464000,71,R,2001,2h 2m,Antoine Fuqua,86
265,The Equalizer 2,6.7,188000,50,R,2018,2h 1m,Antoine Fuqua,86
266,The Magnificent Seven,6.9,225000,54,PG-13,2016,2h 12m,Antoine Fuqua,86
267,Shooter,7.1,351000,53,R,2007,2h 4m,Antoine Fuqua,86
268,Infinite,5.5,59000,28,PG-13,2021,1h 46m,Antoine Fuqua,86
269,The Guilty,6.3,143000,63,R,2021,1h 30m,Antoine Fuqua,86
270,King Arthur,6.3,174000,46,PG-13,2004,2h 6m,Antoine Fuqua,86
271,Southpaw,7.3,254000,57,R,2015,2h 4m,Antoine Fuqua,86
272,Merry Little Batman,6.4,1900,74,TV-Y7,2023,1h 32m,Mike Roth,87
273,Underwater,5.9,93000,48,PG-13,2020,1h 35m,William Eubank,88
274,Taylor Swift: The Eras Tour,8.2,14000,83,PG-13,2023,2h 49m,Sam Wrench,89
275,Christmas with the Kranks,5.5,56000,22,PG,2004,1h 39m,Joe Roth,90
276,John Wick: Chapter 4,7.7,308000,78,R,2023,2h 49m,Chad Stahelski,91
277,John Wick: Chapter 3 - Parabellum,7.4,413000,73,R,2019,2h 10m,Chad Stahelski,91
278,John Wick: Chapter 2,7.4,499000,75,R,2017,2h 2m,Chad Stahelski,91
279,The Santa Clause 2,5.7,63000,48,G,2002,1h 44m,Michael Lembeck,92
280,The Santa Clause 3: The Escape Clause,4.8,42000,32,G,2006,1h 32m,Michael Lembeck,92
281,Gran Turismo,7.2,66000,48,PG-13,2023,2h 14m,Neill Blomkamp,93
282,District 9,7.9,708000,81,R,2009,1h 52m,Neill Blomkamp,93
283,Elysium,6.6,466000,61,R,2013,1h 49m,Neill Blomkamp,93
284,Four Christmases,5.7,79000,41,PG-13,2008,1h 28m,Seth Gordon,96
285,Baywatch,5.5,199000,37,R,2017,1h 56m,Seth Gordon,96
286,Horrible Bosses,6.9,465000,57,R,2011,1h 38m,Seth Gordon,96
287,Mad Max: Fury Road,8.1,1100000,90,R,2015,2h,George Miller,97
288,Mad Max,6.8,218000,73,R,1979,1h 28m,George Miller,97
289,The Witches of Eastwick,6.5,76000,67,R,1987,1h 58m,George Miller,97
290,The Road Warrior,7.6,190000,77,R,1981,1h 36m,George Miller,97
291,Three Thousand Years of Longing,6.7,57000,60,R,2022,1h 48m,George Miller,97
292,Glory,7.8,142000,78,R,1989,2h 2m,Edward Zwick,98
293,Love & Other Drugs,6.7,219000,55,R,2010,1h 52m,Edward Zwick,98
294,The Last Samurai,7.8,463000,55,R,2003,2h 34m,Edward Zwick,98
295,Jack Reacher: Never Go Back,6.1,171000,47,PG-13,2016,1h 58m,Edward Zwick,98
296,Legends of the Fall,7.5,179000,45,R,1994,2h 13m,Edward Zwick,98
297,Blood Diamond,8.0,577000,64,R,2006,2h 23m,Edward Zwick,98
298,Suicide Squad,5.9,714000,40,PG-13,2016,2h 3m,David Ayer,99
299,Fury,7.6,532000,64,R,2014,2h 14m,David Ayer,99
300,The Muppet Christmas Carol,7.8,67000,64,G,1992,1h 25m,Brian Henson,100
301,The Family Stone,6.3,73000,56,PG-13,2005,1h 43m,Thomas Bezucha,101
302,The Lord of the Rings: The Fellowship of the Ring,8.8,2000000,92,PG-13,2001,2h 58m,Peter Jackson,104
303,The Lord of the Rings: The Return of the King,9.0,1900000,94,PG-13,2003,3h 21m,Peter Jackson,104
304,The Lord of the Rings: The Two Towers,8.8,1700000,87,PG-13,2002,2h 59m,Peter Jackson,104
305,The Hobbit: An Unexpected Journey,7.8,860000,58,PG-13,2012,2h 49m,Peter Jackson,104
306,The Lovely Bones,6.6,178000,42,PG-13,2009,2h 15m,Peter Jackson,104
307,King Kong,7.2,441000,81,PG-13,2005,3h 7m,Peter Jackson,104
308,The Hobbit: The Desolation of Smaug,7.8,694000,66,PG-13,2013,2h 41m,Peter Jackson,104
309,The Hobbit: The Battle of the Five Armies,7.4,561000,59,PG-13,2014,2h 24m,Peter Jackson,104
310,Pride & Prejudice,7.8,322000,82,PG,2005,2h 9m,Joe Wright,105
311,Atonement,7.8,295000,85,R,2007,2h 3m,Joe Wright,105
312,Darkest Hour,7.4,216000,75,PG-13,2017,2h 5m,Joe Wright,105
313,Anna Karenina,6.6,105000,63,R,2012,2h 9m,Joe Wright,105
314,Freelance,5.4,6800,24,R,2023,1h 48m,Pierre Morel,106
315,Taken,7.8,626000,51,PG-13,2008,1h 30m,Pierre Morel,106
316,Pulp Fiction,8.9,2200000,95,R,1994,2h 34m,Quentin Tarantino,107
317,Once Upon a Time in Hollywood,7.6,815000,83,R,2019,2h 41m,Quentin Tarantino,107
318,Inglourious Basterds,8.4,1500000,69,R,2009,2h 33m,Quentin Tarantino,107
319,Django Unchained,8.5,1700000,81,R,2012,2h 45m,Quentin Tarantino,107
320,Kill Bill: Vol. 1,8.2,1200000,69,R,2003,1h 51m,Quentin Tarantino,107
321,The Hateful Eight,7.8,645000,68,R,2015,2h 48m,Quentin Tarantino,107
322,Reservoir Dogs,8.3,1100000,81,R,1992,1h 39m,Quentin Tarantino,107
323,Jackie Brown,7.5,367000,62,R,1997,2h 34m,Quentin Tarantino,107
324,Kill Bill: Vol. 2,8.0,792000,83,R,2004,2h 17m,Quentin Tarantino,107
325,The Age of Adaline,7.2,198000,51,PG-13,2015,1h 52m,Lee Toland Krieger,108
326,The Exorcist: Believer,4.8,32000,39,R,2023,1h 51m,David Gordon Green,109
327,Bad Santa,7.1,152000,70,R,2003,1h 32m,Terry Zwigoff,110
328,Scott Pilgrim vs. the World,7.5,458000,69,PG-13,2010,1h 52m,Edgar Wright,111
329,Last Night in Soho,7.0,169000,65,R,2021,1h 56m,Edgar Wright,111
330,Baby Driver,7.6,591000,86,R,2017,1h 53m,Edgar Wright,111
